candle_time,open,close,high,low,volume
2013-03-31 08:00:00,92.5,93.033,93.74999,91.0,3083.0797907500005
2013-04-01 08:00:00,93.25,103.999,105.9,92.49999,5224.401312970002
2013-04-02 08:00:00,104.0,118.22935407,118.3867,99.0,8376.527478110022
2013-04-03 08:00:00,117.95826131,134.7,146.88,101.51088,12996.245072180118
2013-04-04 08:00:00,134.71656,132.899,143.0,119.0,6981.668305440006
2013-04-05 08:00:00,130.10001,142.3,145.0,128.25,5234.882203250009
2013-04-06 08:00:00,142.8,143.05,144.0,139.0,2009.1286249399996
2013-04-07 08:00:00,143.5,162.304,164.75,142.75,3725.0676449599982
2013-04-08 08:00:00,163.9,186.985,194.57,163.2,10895.82741442002
2013-04-09 08:00:00,186.8,232.99,249.97,186.8,6073.37314608
2013-04-10 08:00:00,228.669,162.0,290.0,19.9,16070.64274427014
2013-04-11 08:00:00,162.0,100.0,205.0,1.06,16914.656315080098
2013-04-12 08:00:00,109.0,112.0,157.0,51.0,38693.955304319585
2013-04-13 08:00:00,112.0,91.1,130.0,81.12,23866.677045599972
2013-04-14 08:00:00,91.1,90.171,109.0,20.0,16437.219664500037
2013-04-15 08:00:00,89.86,83.302,104.0,71.497,16393.128563980034
2013-04-16 08:00:00,84.27,67.588,84.48,0.01,26092.54322960003
2013-04-17 08:00:00,68.135,93.063,98.9,63.5,20016.46738673
2013-04-18 08:00:00,93.0,111.3,114.0,87.0,8362.10465509001
2013-04-19 08:00:00,110.0,119.0,142.0,104.56,20883.25110548993
2013-04-20 08:00:00,119.02,127.0,132.0,114.9,6502.719276970041
2013-04-21 08:00:00,127.01,117.618,130.0,110.0,11539.056190050027
2013-04-22 08:00:00,119.96,126.5,127.3,119.615,7053.397116680003
2013-04-23 08:00:00,127.389,143.484,144.47,124.859,11566.577971560031
2013-04-24 08:00:00,142.41,154.6,166.99,140.9,25884.625254149956
2013-04-25 08:00:00,155.0,141.9,169.13,120.03,21589.721007850003
2013-04-26 08:00:00,142.89,137.3,143.985,13.0,13279.17946705005
2013-04-27 08:00:00,136.56001,128.5,147.51,121.46,7773.997322830005
2013-04-28 08:00:00,128.8,135.28,136.99,128.02,7222.090082880017
